标识,中文,英文,原始翻译,比较
bianJiZiLiao,编辑资料,Edit profile,edit information,0
zhiHangDiZhi,支行地址,Branch address,branch address,1
bangDingYinHangKa,绑定银行卡审核中，请耐心等待！,Bank card binding under review. Please wait.,"is binding your bank card and waiting for approval,please be patient!",0
fenPeiBaiFenBi,分配百分比：,Allocation percentage:,percentage distribution,0
benJi,(本级),(Current level),(level now),0
zongYongJinBiLi,总佣金比例：,Total commission percentage:,total commission ratio,0
qingXuanZeHuiYuan,请选择会员返佣方案,Select the member rebate plan.,please choose the member's commision program,0
huiYuanFanYongFang,会员返佣方案：,Member rebate plan:,member's commision program,0
chouYongBaiFenBi,抽佣百分比：,Commission percentage:,commision ratio,0
sheZhiYongJinLian,设置佣金链,Set commission chain,settings of commission chain ,0
yongJinLianMoShi,佣金链模式,Commission chain mode,commission chain mode,1
yongJinLianSheZhi,佣金链设置,Commission chain settings,commission chain settings ,0
weiFenPeiYongJin,未分配佣金比例{val1}%,Percentage of unallocated commission {val1}%,unallocated commission percentage {val1}%,0
heJiBuNengChao,合计不能超过{val1}%,Must not be higher than {val1}%,total not more than{val1}%,0
qingXianShuRuZong,请先输入总比例,Enter the total percentage first.,please fill in the total ratio ,0
xiuGaiYongJinFang,修改佣金方案审核中，请耐心等待！,Commission plan updates under review. Please wait.,"amend the commision program and waiting for approval,please be patient!",0
zhuSuoShuShangJi,注：所属上级默认为admin，可以填写其他代理，设定后无法再次修改,"Note: The default superior is admin. You can set it to other agents, which can’t be changed again.","attn: the default will be automatic set as admin, and other affiliate can be filled too. After finish setting, its cannot be amended again.",0
geShuZiZiMu,8-20个数字/字母/特殊字符组成,A combination of 8-20 numbers/letters/special characters,8-20 numbers/letters/special characters,0
bianJiDaiLi,编辑代理,Edit agent,edit affiliate,0
xinZengDaiLi,新增代理,Add agent,new affiliate,0
dengLuWangZhi,登录网址：,Login URL:,login address:,0
shouJiHaoMa,手机号码：,Phone No.:,phone number:,0
dengLuMiMa,登录密码：,Login password:,login password:,1
daiLiZhangHao,代理账号：,Agent account:,affiliate account:,0
yongHuYiCunZai,用户已存在,User already exists.,user already exists,0
zhuanRuJinEBu,转入金额不可小于0,Transfer amount cannot be less than 0.,the transfer amount cannot be less than 0,0
qingShuRuZhuanRu,请输入转入金额,Enter the transfer amount.,please fill in the transfer amount,0
congZhongXinQianBao,从中心钱包转入{val1},Transfer from main wallet {val1},transfer to from central wallet{val1} ,0
mWBuYuBu,（mw捕鱼不支持转入小数）,(Decimals not supported when transferring to mw fishing),(mw fishing does not support conversion to decimals),0
gaiZhangHuZhuZhang,该账户主账户余额为0,The main account balance of the account is 0.,The main account balance of this account is 0,0
gongXiNiCaoZuo,恭喜你，操作成功,Congratulations. The operation is successful.,"congratulations, create successful",0
shenQingXiuGaiZi,申请修改资料,Apply to modify profile,apply for amend information ,0
zhangHaoBianJiShen,账号编辑审核中，请耐心等待！,Account edits under review. Please wait.,"The account is being edited and waiting for approval, please be patient!",0
paiChuSuoDing,排除锁定,Exclude locked,unlocked,0
yiGouXuanSE,已勾选{val1}条数据,{val1} data entries checked,clicked{val1}data,0
dangQianVIP,当前VIP等级,Current VIP level,currently VIP level,0
shiFouSuoDingCeng,是否锁定层级,Whether to lock the level,Whether to lock the level,1
qingXuanZeDengJi,请选择等级,Select the level.,please select the level ,0
vIPDengJi,VIP等级修改为,Change VIP level to,VIP level will amend to ,0
iSMUL,{val1},{val1},{val1},1
piLiangXiuGaiV,批量修改VIP成功,VIP batch modified.,successful amended VIP by batch,0
xiuGaiVIP,修改VIP成功,VIP modified.,amend VIP successfully,0
yiGuoLuDiaoV,已过滤掉VIP状态为已锁定的用户,Users of locked VIP already filtered out.,Users whose VIP status is locked have been filtered out,0
qingShuRuShenQing,请输入申请删除原因，最多45个字符,Enter the reason for deletion. Limit to 45 characters.,"please list down the reason for requesting deletion,up to 45 chatacters",0
shenQingShanChuYuan,申请删除原因,Reason for deletion,the reason of deletion ,0
shenQingShanChuYin,申请删除银行卡,Apply to delete bank card,apply for delete bank card,0
shanChuYinHangKa,删除银行卡审核中，请耐心等待！,Bank card deletion under review. Please wait.,deleting bank card and waiting for approval please be patient!,0
qingShuRuShenQing2,请输入申请修改原因,Enter the reason for modification.,please enter the reason of amend,0
shenQingXiuGaiYuan,申请修改原因,Reason for modification,the reason of amend,0
shenQingZhongZhiYin,申请重置银行卡,Apply to reset bank card,apply for reset bank card,0
zhongZhiYinHangKa,重置银行卡审核中，请耐心等待！,Bank card reset under review. Please wait.,"reset bank card and waiting for approval,please be patient!",0
shuRuYongHuMing,输入用户名,Enter username,key in user name ,0
gouXuanYongHuMing,勾选用户名,Check username,click the user name ,0
sELEC,{val1}等{val2}个账户,{val2} accounts including {val1},{val1}{val2}account,0
yiXiaZhangHaoBu,以下账号不存在：{val1},The following accounts do not exist: {val1},account unavailable:{val1},0
yiGouXuanSE2,已勾选{val1}条数据,{val1} data entries checked,clicked {val1} data,0
qingShuRuGE,请输入{val1},Enter {val1},please key in{val1},0
ninYiChengGongFa,您已成功发起{val1}个{val2}操作，请等待审核,You have initiated {val1} {val2} operations. Wait for review.,"You have successfully completed {val1} {val2} operations, please wait for audit",0
shiBaiPiLiangU,"失败批量{val1}{val2}个操作,失败原因：{val3}",Batch {val1} {val2} operations failed. Reason: {val3},"Failed batch of {val1}{val2} operations, failure reason: {val3}",0
niYiChengGongFa,"你已成功发起{val1}个{val2}操作，失败{val3}个\n {val4}操作,失败原因：{val5}","You have initiated {val1} {val2} operations, of which {val3}\n{val4} operations failed because of {val5}","you have sucessful initiated{val1}an{val2}action，failed{val3}个\n {val4}action,failure reason：{val5}",0
ninYiChengGongFa2,您已成功发起{val1}个{val2}操作，请等待审核,You have initiated {val1} {val2} operations. Wait for review.,you have create sucessful{val1}an{val2}action，please wait for audit,0
uSERL,"{val1}失败,失败原因：{val2}",{val1} failed. Reason: {val2},"{val1}failed,reason of failed：{val2}",0
gangWeiLeiBie,岗位类别,Job category,job category,1
miMa,密码,Password,password,1
bianJiZhangHao,编辑账号,Edit account,edit account,1
xinJianZhangHao,新建账号,New account,new account ,0
youXiaoShiJian,有效时间,Valid time,valid time ,0
zhangHaoYouXiaoQi,账号有效期,Account validity,account validity period,0
qingXuanZeGangWei,请选择岗位类别,Select a job category.,please choose the job category,0
qingShuRuMiMa,请输入密码,Enter your password.,please key in password,0
qingShuRuZhangHao,请输入账号名,Enter the account name.,pleaase fill in account name ,0
gongXiNinBianJi,恭喜您，编辑账号成功,Congratulations. Account edited.,"congratulations, you have successfully edited your account",0
gongXiNinXinZeng,恭喜您，新增账号成功,Congratulations. Account created.,"congratulations, you have successfully create your account",0
shenFenMa,身份码,Identity code,personal identification ,0
shenFenYanZhengMa,身份验证码,Identity verification code,personal identification number,0
gongXiNiFuZhi,恭喜你，复制成功,Congratulations. Copied successfully.,"congratulations, the copy is successful",0
zhongZhiShenFenYan,重置身份验证码,Reset identity verification code,reset personal identification ,0
beiZhuROW,备注：{val1},Remarks: {val1},remark：{val1},0
suoDing,锁定,Lock,locked,0
gangWeiMingCheng,岗位名称,Job name,job title,0
buMenMingCheng,部门名称,Department name,department name ,0
xinJianShiJian,新建时间,Creation time,create time ,0
yunWeiGuanLiXi,运维管理系统,O&M management system,operation and maintenance management system,0
xiTongQuanXian,系统权限,System permission,system authority,0
qingXuanZeXiTong,请选择系统图标,Select the system icon.,please select a system icon,0
xiTongTuBiao,系统图标,System icon,system icon,1
qingXuanZeXiTong2,请选择系统描述,Select the system description,please choose the system description,0
xiTongMiaoShu,系统描述,System description,system description,1
qingShuRuXiTong,请输入系统名称,Enter the system name.,please enter the system name ,0
xiTongMingCheng,系统名称,System name,name of system ,0
chuangJianYeWuXi,创建业务系统/管理业务系统,Create/manage business system,create business systems/manage business systems,0
qingGouXuanXiTong,请勾选系统权限!,Check the system permission.,please click the system authority,0
xinHuaiDaXiangFa,心怀大想法，享受小乐趣,Think big and enjoy minor pleasures.,think big and have fun,0
chengGongJiuShiRi,成功就是日复一日点滴努力的积累,Success comes after working hard day after day.,success is the accumulation of hard work day after day,0
tianShiBuRuDi,天时不如地利，地利不如人和,The time isn't as important as the terrain; but the terrain isn't as important as unity with the people.,"the weather is not as good as the location, the location is not as good as the people",0
yunWeiDeShiJie,运维的世界像古老的时钟，滴滴答答,The O&M world is ticking like an old clock.,"the world of operation and maintenance is like an ancient clock, ticking",0
shengMingJiuXiangYi,生命就像一盒巧克力，结果往往出人意料,Life is like a box of chocolates. You never know what you can get.,"life is like a box of chocolates, the results are unexpected always",0
shuJuJiuXiangYi,数据就像一本魔法书，所有技能都可以在这里愉快获取,Data is like a magic book from which all skills can be acquired happily.,"Data is like a magic book, all skills can be obtained happily here",0
guiHuaDeMuDi,规划的目的是为了更快更有效地达成目标,Planning is to achieve your goals faster and more efficiently.,the purpose of planning is to achieve goals faster and more efficiently,0
dangFengXianLaiLin,当风险来临时，用微笑去面对，用智慧去解决,Face risk with a smile and address it with wisdom.,"when the risk comes, face it with a smile and solve it with wisdom",0
guanLiXiTongQuan,管理系统权限,Manage system permissions,manage system authorised,0
qingQiuZuiXinCai,请求最新菜单,Request the latest menu,request for latest menu,0
gongXiNiQingQiu,恭喜你，请求最新菜单成功！,Congratulations. Latest menu requested.,"congratulations,the latest menu had been requested successfully!",0
yunWeiXiTong,运维系统,O&M system,operation and maintenance system,0
yongHuXiTong,用户系统,User system,user system ,0
shuJuXiTong,数据系统,Data system,data system ,0
fengKongXiTong,风控系统,Risk control system,risk control system ,0
yunYingXiTong,运营系统,Operation system,operating system,0
caiWuXiTong,财务系统,Financial system,financial system ,0
neiBuDaiLi,内部代理,Internal agent,internal affiliate,0
zhanKai,展开,Expand,expand,1
quanXuan,全选,Select all,choose all ,0
shouHuoDiZhi,收货地址,Shipping address,recipent address,0
youXiang,邮箱,Email,email,1
shuJuQuanXian,数据权限：,Data permissions:,data  authorised:,0
shuJuKeJian,数据可见：,Data visible:,data can be seen:,0
gangWeiQuanXianShe,岗位权限设置 ({val1}),Job permission settings ({val1}),post permission settings ({val1}),0
gongXiNinCaoZuo,恭喜您，操作成功！,Congratulations. The operation is successful.,"congratulations, create successful",0
fuZhiQuanXian,复制权限,Copy permissions,copy authorised,0
gangWeiMa,岗位吗?,Job?,job?,1
queDingJiangXuanZhong,确定将选中岗位权限复制到,Copy the selected job permissions to,confirm copy the selected post permissions to,0
fuZhiChengGong,复制成功~,Copied.,copied,0
feiBiXuanMoRen,非必选，默认全不勾选，勾选后可查看全部信息,Optional permissions are unchecked by default. Check them to see all the information.,"Not required, all information is not checked by default, after checking, you can view all information",0
zuiJinDengLu,最近登录,Last login,last login,1
chengYuanGuanLi,成员管理,Member management,member manage,0
biTianXiangBuNeng,必填项不能为空!,Required fields cannot be empty.,required fields cannot be empty,0
